name,magnitude,x,y,z,spectra,color
HD 102070,4.710,-102.494591,6.824337,-34.072715,G8III,0.958
HD 102124,4.840,-36.946879,2.375650,5.373462,A4V,0.174
HD 102249,3.630,-15.372609,0.966692,-35.814787,A7III,0.160
HD 102212,4.040,-89.335882,5.519063,10.244433,M0III,1.501
HD 102224,3.690,-37.766969,2.301619,41.698309,K0III,1.181
HD 102350,4.110,-57.496946,3.387322,-104.674396,G0II,0.895
Gl 442A,4.890,-6.999490,0.412234,-5.988563,G3/G5V,0.664
HD 102509,4.500,-66.839525,3.507123,24.651099,A comp SB,0.547
HD 102584,4.750,-51.803121,2.659983,-121.112002,K4III,1.522
Denebola,2.140,-10.633926,0.508011,2.767546,A3Vvar,0.090
HD 102776,4.300,-80.518191,3.626595,-163.717351,B3V,-0.149
HD 102839,4.980,-98.252600,4.314042,-273.556324,G5Ib,1.360
Gl 449,3.590,-10.914853,0.443379,0.336562,F8V,0.518
HD 102964,4.470,-93.550664,3.616395,-94.189158,K4III,1.283
HD 103079,4.890,-46.566024,1.655874,-100.869132,B4V,-0.123
HD 103192,4.290,-78.778366,2.438319,-52.978439,Ap Si,-0.100
Groombridge 1830,6.420,-7.187679,0.220247,5.561623,G8Vp,0.754
Phad,2.410,-15.094867,0.406425,20.552678,A0V SB,0.044
HD 104174,4.880,-22.630021,0.036908,-108.530587,B9Vn,-0.054
HD 104321,4.650,-117.000681,-0.445765,13.567178,A5V,0.122
HD 104671,4.320,-32.354329,-0.427074,-64.371212,Am,0.280
HD 104841,4.720,-118.149652,-2.227465,-233.590654,B2IV,-0.081
NN 3703,4.120,-49.456789,-1.124272,7.599057,G8III,0.967
Gl 455.2,4.140,-8.465553,-0.254271,-17.847491,F2III,0.353
HD 105382,4.460,-85.149167,-3.005868,-103.953339,B2IIIne,-0.163
HD 105435,2.580,-80.490795,-2.936809,-98.484590,B2IVne,-0.128
Gl 455.3,4.020,-13.557668,-0.497944,-6.248321,F0IV/V,0.334
HD 105707,3.020,-89.880850,-3.973272,-37.486747,K2III,1.326
HD 105937,3.970,-70.823795,-3.603843,-91.980772,B3V,-0.156
HD 106490,2.790,-54.778605,-3.625250,-90.466000,B2IV,-0.193
Megrez,3.320,-13.402309,-0.903455,20.710384,A3Vvar,0.077
Gienah Ghurab,2.580,-44.805937,-3.095058,-14.197066,B8III,-0.107
HD 106714,4.930,-69.694731,-4.978144,31.029412,K0III,0.957
HD 106760,4.990,-81.077617,-5.848085,52.913399,K1III,1.140
HD 106849,4.060,-34.578526,-2.656314,-85.667942,M5III,1.603
HD 106911,4.240,-16.913371,-1.356886,-89.904352,B5Vn,-0.123
HD 106983,4.060,-47.906339,-3.862337,-98.554663,B2.5V,-0.168
HD 107259,3.890,-81.054806,-7.057860,-0.946921,A2IV,0.026
HD 107328,4.970,-93.899870,-8.359560,5.456403,K1III,1.172
HD 107383,4.720,-84.291909,-7.640422,27.162500,G8III,1.010
HD 107446,3.590,-34.656852,-3.239447,-61.275879,K3/K4III,1.389
HD 107700,4.780,-80.906230,-7.970422,39.381767,F8:p...,0.515
HD 107950,4.760,-73.252449,-7.707192,92.806080,G7III,0.877
HD 108283,4.920,-74.702206,-8.643693,38.761154,F0p,0.277
HD 108257,4.820,-85.029970,-9.886927,-107.427413,B3Vn,-0.141
Acrux,0.770,-44.363755,-5.171957,-88.034513,B0.5IV,-0.243
HD 108381,4.350,-44.854517,-5.296552,24.287368,K2IIICN+...,1.128
HD 108382,4.980,-75.485835,-8.930421,38.439359,A4V,0.088
HD 108483,3.910,-80.166328,-9.857284,-97.048731,B3V,-0.192
3C 273,12.880,-99130.706060,-12660.058622,3581.344963,,0.120
Algorab,2.940,-25.316094,-3.317674,-7.570570,B9.5V,-0.012
Gacrux,1.590,-14.606901,-1.998688,-22.800748,M4III,1.600
Gl 471.2,4.300,-17.384353,-2.448661,-5.099150,F2V,0.388
HD 109026,3.840,-30.252522,-4.314584,-94.797960,B5V,-0.157
HD 109387,3.850,-51.400013,-7.563147,141.115978,B6IIIp,-0.116
Gl 475,4.240,-6.266213,-0.929293,5.576481,G0V,0.588
Kraz,2.650,-40.529889,-6.127261,-17.735390,G5II,0.893
HD 109551,4.950,-62.314914,-9.517033,173.398985,K2III,1.312
HD 109485,4.800,-86.726287,-13.290876,36.574715,A0IV,0.012
HD 109668,2.690,-33.992375,-5.563974,-90.370102,B2IV-V,-0.176
HD 109787,3.850,-26.283342,-4.363283,-30.158275,A2V,0.049
HD 110014,4.660,-87.830127,-15.189098,-12.519906,K2III,1.240
HD 110073,4.630,-84.409362,-14.836369,-71.881260,B8II/III,-0.082
HD 110304,2.200,-25.771821,-4.720403,-30.097707,A1IV,-0.023
Porrima,2.740,-11.488622,-2.111702,-0.295552,F0V+...,0.368
HD 110411,4.880,-35.099650,-6.487005,6.445292,A0V,0.076
HD 110335,4.910,-145.546170,-26.937819,-253.158623,B6IV,-0.044
HD 110458,4.660,-37.824555,-7.111282,-43.983916,K0III,1.075
HD 110829,4.690,-17.501322,-3.531603,-32.184876,K1III,1.049
HD 110879,3.040,-38.249334,-7.830610,-97.161472,B2V,-0.178
HD 110956,4.620,-63.777619,-13.085451,-98.322988,B3V,-0.150
Becrux,1.250,-42.168771,-8.909619,-73.723149,B0.5III,-0.238
HD 111597,4.900,-99.245673,-22.314159,-68.611416,B9V,-0.031
HD 111812,4.930,-77.024837,-17.675955,41.210244,G0III,0.681
HD 111915,4.330,-57.693580,-13.615620,-68.055950,K3/K4III,1.344
HD 112033,4.890,-78.728443,-18.645343,31.454488,G8III,0.904
Gl 488.1,4.250,-33.866046,-8.042527,-29.392978,A4IV,0.224
Alioth,1.760,-13.775959,-3.309169,20.972944,A0p,-0.022
HD 112142,4.770,-160.028453,-38.680014,-27.665937,M3IIIvar,1.590
HD 112092,4.030,-66.928408,-16.251590,-106.780004,B2IV-V,-0.180
HD 112078,4.620,-58.626976,-14.251893,-100.998151,B4Vn,-0.153
HD 112300,3.390,-58.941910,-14.587593,3.604756,M3III,1.571
Cor Caroli,2.890,-26.795114,-6.684223,21.824384,A0spe...,-0.115
HD 112769,4.760,-91.732311,-24.118592,29.741363,M0III,1.568
HD 112989,4.880,-167.925753,-45.211219,103.606856,K1IIIp,1.165
HD 113139,4.930,-13.601724,-3.690939,21.185580,F2V,0.368
Vindemiatrix,2.850,-31.782664,-8.840495,6.388060,G8IIIvar,0.934
HD 112985,3.610,-8.497455,-2.367379,-26.438289,K2III,1.190
HD 113314,4.830,-42.210157,-12.014940,-51.434446,A0V,0.029
HD 113703,4.710,-76.024410,-22.619947,-89.537224,B5V,-0.148
HD 113791,4.270,-88.364964,-26.557271,-109.597766,B1.5V,-0.182
HD 113996,4.800,-86.200274,-26.016708,47.121741,K5III,1.482
HD 114149,4.940,-62.332323,-19.370955,-27.865588,K0III,1.048
HD 114330,4.380,-91.900170,-28.953908,-9.343987,A1V,-0.008
Gl 501A,4.320,-16.211012,-5.110375,5.368871,F5V,0.455
Gl 502,4.230,-7.676072,-2.489414,4.268726,G0V,0.572
Gl 501.2,4.850,-15.531004,-5.050305,-12.669384,G3V,0.693
HD 114529,4.580,-55.339290,-18.059147,-100.503154,B8V,-0.073
HD 115004,4.940,-102.130763,-34.031654,90.820940,K0III,1.061
Gl 503A,4.900,-8.858292,-2.974795,-15.615439,F7IV,0.489
HD 114911,4.790,-41.808581,-14.242780,-108.743263,B8V,-0.078
HD 115211,4.860,-136.279795,-47.735769,-336.637835,K2Ib/II,1.480
HD 115604,4.720,-58.064795,-20.431424,52.707610,F3III,0.306
HD 115521,4.780,-194.393291,-68.461175,19.735435,M2III,1.638
Gl 506,4.740,-7.651172,-2.724657,-2.687800,G5V,0.709
HD 115659,2.990,-35.509172,-12.735386,-16.146279,G8III,0.920
Gl 508.1,2.750,-13.562569,-4.976416,-10.773082,A2V,0.068
HD 116087,4.520,-49.326495,-18.597689,-95.056771,B3V,-0.141
Mizar,2.230,-14.115808,-5.413302,21.531272,A2V,0.057
HD 116243,4.520,-32.034113,-12.298035,-72.055449,G5III-IV,0.822
Spica,0.980,-69.990853,-27.285826,-14.821760,B1V,-0.235
Alcor,3.990,-13.393436,-5.223608,20.521915,A5V SB,0.169
Gl 511.2,4.760,-76.652995,-30.757106,-23.642083,K1IIICN...,1.096
Gl 512.1,4.970,-16.183798,-6.574040,4.283711,G5V,0.714
HD 117440,3.900,-197.912019,-83.036359,-176.341407,G8II/III,1.186
HD 117675,4.680,-112.142683,-47.581390,-13.353910,M3III,1.606
HD 118022,4.920,-51.839033,-22.575812,3.615721,A1p SrCrEu,0.029
HD 118232,4.680,-33.218997,-14.522401,41.729729,A5V,0.132
NN 3792,3.380,-20.799365,-9.118725,-0.236175,A3V,0.114
HD 118216,4.910,-33.311780,-14.622295,27.596139,F2IV SB,0.404
HD 118623,4.820,-44.713470,-20.250115,36.049969,A7III,0.239
HD 118716,2.290,-70.726493,-32.938100,-105.309044,B1III,-0.171
HD 119228,4.630,-83.974953,-39.487818,130.971319,M2IIIvar,1.630
HD 118991,4.990,-43.564759,-20.720131,-67.780239,B8Vn+...,-0.055
Gl 525.1,4.230,-14.565089,-7.237099,-10.579613,F3V,0.390
HD 119834,4.640,-44.857648,-22.525817,-62.953029,G8/K0III,0.955
Gl 527A,4.500,-13.296143,-6.720908,4.685085,F7V,0.508
Alkaid,1.850,-18.529548,-9.394541,24.164506,B3V SB,-0.099
HD 120323,4.190,-41.097871,-21.267942,-31.745313,M5III,1.520
HD 120477,4.050,-69.023958,-35.731771,21.990689,K5IIIvar,1.520
HD 120307,3.410,-88.774682,-45.969560,-89.032200,B2IV,-0.225
HD 120324,3.470,-101.522043,-52.633292,-104.690333,B2IV-Ve,-0.170
HD 120539,4.920,-101.741463,-52.801922,44.608525,K4III,1.432
HD 120452,4.960,-63.160729,-32.834359,-23.313996,K0III,1.059
HD 121130,4.580,-42.996051,-22.724978,102.990335,M3III,1.572
HD 120933,4.760,-134.161606,-71.178319,104.162586,K5III,1.611
HD 120709,4.320,-78.066399,-41.432939,-57.381780,B5,-0.146
HD 120955,4.750,-145.949303,-78.592981,-103.290534,B4IV,-0.111
Mufrid,2.680,-9.487671,-5.188142,3.596709,G0IV,0.580
HD 121263,2.550,-69.545858,-38.367530,-86.039492,B2.5IV,-0.176
HD 121474,4.710,-24.816640,-13.990315,-57.608415,K4III,1.075
HD 121743,3.830,-103.919940,-58.957456,-107.960807,B2IV,-0.224
HD 121790,3.870,-80.799834,-46.030955,-92.356336,B2IV-V,-0.208
HD 122408,4.230,-59.454971,-34.898261,1.858889,A3V,0.121
HD 122223,4.340,-234.723500,-137.883491,-278.021210,F6II,0.598
Hadar,0.610,-50.954051,-30.562870,-104.478695,B1III,-0.231
Thuban,3.670,-34.416017,-20.758849,83.796391,A0III SB,-0.049
HD 122980,4.360,-100.416272,-61.562968,-103.039485,B2V,-0.198
Gl 538.1,3.250,-23.563202,-14.492156,-13.902421,K2III,1.091
Menkent,2.060,-12.358808,-7.624204,-10.694288,K0IIIb,1.011
HD 124547,4.800,-25.551841,-16.098449,136.761257,K3III,1.368
HD 123569,4.740,-28.104578,-17.889697,-44.922838,G8III,0.938
Wo 9470,4.820,-28.553661,-18.260634,15.870824,F9IVw,0.541
HD 123934,4.930,-114.065691,-73.257993,-39.647028,M1III,1.684
HD 124224,4.990,-66.294802,-43.160756,3.328595,B9p Si,-0.118
HD 124294,4.180,-64.306477,-42.119366,-13.933635,K3III,1.323
HD 124675,4.530,-25.879926,-17.045792,39.366041,A8IV,0.233
Arcturus,-0.050,-8.823448,-5.932531,3.698938,K2IIIp,1.239
Wo 9473,4.070,-18.333625,-12.367873,-2.324624,F7V,0.511
Wo 9474A,4.750,-15.038822,-10.159621,22.708137,A9V,0.236
NN 3837,4.180,-17.435524,-11.802923,21.870286,A0sh,0.087
HD 125351,4.800,-48.021385,-33.003256,41.577411,K1III,1.057
HD 123998,4.890,-5.449691,-3.753584,-41.816579,A2m...,0.243
HD 125337,4.520,-45.689342,-31.728277,-13.222219,A1V,0.128
HD 125238,3.550,-59.012186,-41.092372,-74.616044,B2.5IV,-0.184
HD 125560,4.840,-45.113965,-31.517003,16.099914,K3III,1.228
HD 125288,4.300,-170.308593,-119.612433,-313.079238,B6Ib,0.082
HD 125473,4.050,-51.222720,-36.052443,-48.736704,A0IV,-0.030
HD 125442,4.780,-25.090555,-17.684637,-30.897712,F0IV,0.310
HD 125628,4.760,-49.947049,-35.830428,-100.149001,G8/K1 + F/G,0.795
HD 125823,4.410,-87.805198,-63.232405,-89.233929,B2V,-0.185
HD 125932,4.780,-34.652085,-24.968032,-22.474799,K3III,1.300
HD 126128,4.860,-52.855263,-38.182948,9.682766,A0V,0.010
Gl 549A,4.040,-7.233871,-5.313642,11.426925,F7V,0.497
HD 126341,4.560,-189.284544,-140.238457,-237.402618,B2IV,-0.147
HD 126354,4.330,-55.216146,-40.925029,-69.645036,A7:+...,0.434
HD 124882,4.310,-8.102137,-6.045780,-91.099860,K2III,1.300
HD 127700,4.250,-21.740786,-16.312428,106.600575,K4III,1.431
HD 126769,4.970,-83.806756,-63.252607,-59.384470,B7/B8V,-0.074
Gl 550.2A,4.810,-28.915866,-21.829712,-1.409548,G2III,0.693
Proxima Centauri,11.010,-0.472264,-0.361451,-1.151219,M5Ve,1.807
HD 127665,3.570,-33.395248,-26.051319,24.820934,K3III,1.298
HD 127762,3.040,-16.449442,-12.860715,16.495060,A7IIIvar,0.191
HD 127381,4.440,-88.295016,-69.367614,-136.005022,B2III,-0.177
Gl 557,4.470,-10.732826,-8.589414,7.855332,F3Vwvar,0.364
HD 127972,2.330,-54.086167,-43.605833,-62.903000,B1Vn + A,-0.157
HD 128345,4.050,-48.652444,-40.065743,-73.601256,B5V,-0.152
Gl 559B,1.350,-0.495181,-0.413973,-1.156674,K1V,0.900
Rigil Kentaurus,-0.010,-0.495203,-0.414084,-1.156625,G2V,0.710
HD 129174,4.490,-68.683281,-58.003926,26.489990,B9p MnHg,-0.002
HD 129246,3.780,-39.925583,-33.844144,12.786515,A3IVn,0.044
HD 129312,4.860,-124.167279,-105.717469,23.388495,G8IIIvar,0.992
HD 129056,2.300,-73.354913,-62.611867,-104.837277,B1.5III,-0.154
HD 129116,4.010,-62.472079,-53.337270,-63.702434,B2.5V,-0.157
Gl 560A,3.180,-5.319852,-4.563974,-15.014538,F1Vp,0.256
Wo 9491,3.870,-13.771311,-11.872446,-1.801463,F2III,0.385
HD 129712,4.800,-146.161613,-126.411397,96.464975,M3III,1.672
HD 129456,4.060,-39.672777,-34.383013,-36.997668,K3III,1.356
HD 129685,4.920,-40.371520,-35.400729,-37.865647,A0V,0.013
Izar,2.350,-41.582771,-36.462926,28.269741,A0,0.966
Wo 9493,4.600,-53.536518,-47.049953,21.741799,K0III,0.972
HD 130109,3.730,-30.838211,-27.343068,1.362104,A0V,-0.005
HD 129078,3.830,-19.356924,-17.407930,-134.489842,K5III,1.433
HD 130694,4.420,-66.036951,-60.664821,-47.600014,K3III,1.366
Kochab,2.070,-8.058164,-7.429707,38.619407,K4IIIvar,1.465
Zubenelgenubi,2.750,-16.408581,-15.151818,-6.421874,A3IV,0.147
HD 130952,4.930,-49.174688,-45.463719,-2.688834,G8...,0.988
Gl 566A,4.540,-4.650321,-4.313397,2.196442,G8V + K4V,0.720
HD 130807,4.320,-65.752375,-61.121404,-85.416131,B5IV,-0.154
Wo 9503,4.470,-19.200694,-18.734445,-2.038952,F0V,0.318
HD 132813,4.630,-41.041157,-40.184665,128.600839,M5III,1.590
HD 132058,2.680,-60.951955,-60.176134,-80.247234,B2III,-0.184
HD 132200,3.130,-61.872830,-61.421692,-78.787457,B2IV,-0.208
HD 132742,4.910,-62.675871,-63.210037,-13.333557,B9.5V,0.000
HD 133208,3.490,-36.876434,-37.508062,44.750903,G8III,0.956
HD 133124,4.800,-72.311167,-73.654077,48.148906,K4III,1.506
HD 133165,4.390,-41.799530,-42.871209,2.186454,K0III,1.026
Gl 575A,4.830,-5.858189,-6.055134,9.244209,G2V + G2V,0.647
HD 133216,3.250,-55.519190,-57.527085,-37.760649,M3/M4III,1.674
HD 133582,4.520,-46.605060,-48.449153,34.176087,K2III,1.240
HD 133242,3.910,-63.981638,-66.905071,-99.451605,B5,-0.144
Gl 578,4.930,-12.138752,-12.937889,8.223444,F5V,0.429
HD 133955,4.070,-113.806447,-122.946676,-169.179119,B3V,-0.162
HD 134481,3.880,-24.361730,-27.040918,-41.484457,B9V,-0.029
HD 134759,4.540,-73.216302,-81.473155,-39.418088,Asp...,-0.071
Wo 9512A,3.410,-14.765283,-16.439560,-28.383941,G8III,0.918
HD 134687,4.830,-73.468343,-82.188968,-108.333069,B3IV,-0.177
HD 135153,4.910,-337.201135,-383.227256,-313.043658,F3III,0.374
HD 135722,3.460,-20.523200,-23.506036,20.509246,G8III,0.961
Zubeneschemali,2.610,-36.549398,-42.420251,-9.252607,B8V,-0.071
Gl 580.1,4.070,-10.304156,-12.012956,-26.134351,A3V,0.088
HD 135291,4.850,-36.147448,-42.191897,-111.974081,K2.5III,1.260
HD 135758,4.350,-56.151802,-65.647023,-50.174358,K1II/III,1.100
HD 135734,4.270,-44.694142,-52.577545,-76.305318,B8V,-0.086
HD 135382,2.870,-13.248562,-15.637336,-52.511910,A1V,0.014
HD 137422,3.000,-29.797327,-35.741213,141.814461,A3II-III,0.058
HD 136298,3.220,-131.223518,-158.301112,-176.532145,B1.5IV,-0.227
HD 136422,3.570,-43.289327,-52.423754,-49.870803,K5III,1.534
NN 3901,4.990,-15.270778,-18.547654,-26.615201,F8V,0.515
HD 136504,3.370,-70.733584,-86.328198,-110.402888,B2IV-V,-0.191
HD 136664,4.540,-80.544360,-98.718294,-95.516062,B4V,-0.155
Gl 584A,4.990,-9.748862,-11.953838,9.009316,G2V,0.577
HD 136415,4.480,-44.315595,-54.422257,-118.299395,B5III + F8,0.169
HD 137052,4.920,-19.315192,-23.894489,-5.596007,F5IV,0.453
NN 3903A,4.310,-17.300377,-21.457918,21.056469,F0V,0.309
HD 137759,3.290,-10.015969,-12.471787,26.585776,K2III,1.166
HD 137058,4.600,-58.647980,-73.294368,-75.294841,A0V,0.000
HD 137909,3.660,-18.458330,-23.589253,16.675351,F0p,0.319
HD 138629,4.980,-54.221334,-71.812586,77.944174,A5V,0.086
HD 138749,4.140,-58.818354,-78.716957,59.884890,B6Vnn,-0.127
HD 138716,4.610,-16.923971,-22.908696,-5.055242,K1IV,1.000
Alphekka,2.220,-12.176093,-16.558746,10.343974,A0V,0.032
HD 138917,3.800,-40.700384,-55.408101,12.790326,F0IV,0.268
HD 138690,2.800,-57.388809,-78.369378,-84.935884,B2IV,-0.216
NN 3912,3.910,-28.510476,-39.071229,-12.769777,K0III,1.007
HD 138769,4.550,-54.620726,-75.101405,-92.728795,B3IVp,-0.175
HD 138538,4.110,-14.537768,-20.142359,-56.634489,K0III,1.161
HD 139063,3.600,-35.331726,-49.089777,-32.342270,K3III,1.361
HD 139127,4.340,-28.655317,-40.193087,-45.338837,K4.5III,1.412
HD 139365,3.660,-56.468031,-79.646617,-55.864673,B2.5V,-0.177
HD 139891,4.640,-67.060303,-95.220854,86.607536,B7V+...,-0.103
HD 139521,4.660,-31.911503,-45.475588,-38.056383,G8/K0III,0.964
HD 139663,4.970,-61.407298,-87.928448,-47.342710,K3III,1.302
Gl 594,4.640,-7.060857,-10.196187,-12.256524,F5IV-V,0.413
HD 140159,4.510,-31.169694,-45.162348,19.615863,A1V,0.062
HD 139997,4.750,-50.473595,-73.402915,-31.858778,K5III,1.574
HD 140008,4.750,-51.681830,-75.680182,-63.481486,B5V,-0.151
HD 140436,3.810,-22.633064,-33.161033,19.838868,A1Vs,0.020
HD 142105,4.290,-13.368655,-19.830791,110.565025,A3Vn,0.038
Unukalhai,2.630,-12.578600,-18.695648,2.537718,K2III,1.167
HD 141003,3.650,-25.268927,-38.245168,12.644945,A3V,0.073
Gl 598,4.420,-6.617010,-10.039373,1.551618,G0Vvar,0.604
HD 141477,4.090,-60.303137,-93.518027,36.459590,M1III,1.616
HD 141714,4.590,-25.233535,-39.454341,22.911467,G5III-IV,0.794
HD 141513,3.540,-27.963131,-43.733196,-3.111420,A0V,-0.036
NN 3921,3.710,-11.504554,-18.201236,1.686207,A2m,0.147
HD 141556,3.970,-26.597559,-42.137857,-33.141039,B9.5III-IV,-0.045
HD 141637,4.630,-72.942357,-115.583258,-65.928041,B1.5Vn,-0.072
HD 142091,4.790,-13.201328,-20.969886,17.777763,K0III-IV,0.996
HD 141992,4.740,-57.164285,-90.832595,41.150151,K5III,1.534
Gl 602,4.600,-6.184702,-9.962833,10.727031,F9V,0.563
HD 142114,4.590,-72.970700,-118.626076,-65.914612,B2.5Vn,-0.073
HD 142198,4.130,-25.878383,-42.157652,-14.868305,K0III,1.003
Gl 601A,2.830,-2.869157,-4.734869,-11.070637,F2III,0.315
Gl 603,3.850,-5.562550,-9.299226,3.038014,F6V,0.478
HD 142669,3.870,-64.636099,-108.519131,-70.633018,B2IV/V,-0.199
HD 143107,4.140,-30.827626,-52.120195,30.691703,K3III,1.231
HD 143466,4.960,-9.851524,-16.689694,27.422336,F0IV,0.269
HD 142983,4.950,-70.468723,-119.858644,-35.387341,B8Ia/Iab,-0.080
HD 143018,2.890,-81.301517,-139.203202,-79.023364,B1V + B2V,-0.180
HD 143009,4.990,-50.061036,-86.276885,-89.011740,G8III,0.988
HD 143118,3.420,-53.049208,-91.997111,-84.160334,B2.5IV,-0.206
Dschubba,2.290,-69.332609,-120.492107,-57.928452,B0.2IV,-0.117
HD 143807,4.980,-41.006057,-72.068531,47.585683,A0p...,-0.050
Gl 609.1,4.010,-5.406623,-9.545392,17.947647,F8IV-V,0.528
HD 143894,4.820,-24.857149,-44.067053,21.272513,A3V,0.066
HD 144206,4.720,-38.693912,-68.950542,81.980038,B9III,-0.094
HD 143546,4.650,-21.436686,-38.362307,-50.964612,G8III,0.902
HD 143787,4.960,-27.911645,-50.015630,-27.769154,K3III,1.234
HD 143699,4.900,-46.648755,-83.642133,-76.460056,B6III/IV,-0.146
HD 143474,4.630,-10.219274,-18.348137,-33.318582,A7IV,0.252
Graffias,2.560,-55.881427,-102.320756,-41.986040,B0.5V,-0.065
HD 144218,4.900,-55.061520,-100.825111,-41.363651,B2V,-0.024
NN 3938,4.730,-12.567618,-23.265310,-26.603102,Am,0.230
HD 144294,4.220,-48.315728,-89.537659,-76.118957,B2.5Vn,-0.184
HD 144470,3.930,-64.096463,-119.048882,-51.007488,B1V,-0.046
HD 144608,4.310,-39.288097,-73.429979,-31.749432,G6/G8III,0.831
HD 145389,4.230,-20.653027,-39.159373,44.171451,B9MNp...,-0.045
HD 145328,4.730,-13.395982,-25.453931,21.277041,K0III-IV,1.015
HD 145502,4.000,-62.219516,-122.106847,-48.424462,B2IV,0.076
HD 145570,4.930,-21.326559,-41.855643,-8.337413,A3IV,0.087
HD 145482,4.580,-58.749059,-115.679869,-68.771937,B2V,-0.172
HD 145397,4.950,-34.049566,-67.905705,-107.012462,G4III,1.017
HD 146051,2.730,-23.290749,-46.890988,-3.380547,M1III,1.584
HD 145544,3.860,-36.369544,-74.106715,-166.922770,G5II,1.105
HD 146143,4.970,-125.594972,-260.430500,-345.408995,F9Ia,0.788
NN 3950A,4.950,-3.164210,-6.597182,28.821068,F5V,0.393
HD 146624,4.800,-15.561451,-32.734844,-19.773139,A0V:,0.008
NN 3949,3.230,-13.962311,-29.378579,-2.669978,G8III,0.966
HD 147394,3.910,-27.579279,-58.969611,68.155258,B5IV,-0.151
Wo 9554,4.010,-10.705758,-22.916885,-30.311157,G8III,1.080
HD 145366,4.680,-19.292589,-41.537057,-229.112108,M5III,1.680
HD 147084,4.550,-103.308338,-223.161079,-110.359700,A4II/III,0.758
HD 147165,2.900,-80.536239,-175.075401,-92.301792,B1III,0.299
HD 147547,3.740,-23.156213,-50.764845,19.379328,A9III,0.299
NN 3952,4.820,-11.298928,-24.814028,0.489742,F0V,0.338
HD 147677,4.860,-19.996134,-43.926804,28.876225,K0III,0.970
Gl 624.1A,2.730,-5.477258,-12.300885,24.814526,G8III,0.910
HD 147700,4.480,-23.347455,-52.502771,-20.956111,K0III,0.996
HD 148112,4.570,-29.840058,-68.151905,18.595479,B9p Cr,0.002
HD 147933,4.570,-40.680497,-93.097690,-44.064588,B2V,0.227
HD 148184,4.220,-60.281719,-140.349876,-50.979132,B2Vne,0.217
HD 147971,4.460,-43.237191,-100.860395,-119.987381,B4V,-0.070
HD 148367,4.620,-15.861867,-37.279145,-5.962071,A3m,0.185
HD 149212,4.940,-21.123039,-49.752839,139.122681,A0III,-0.051
Gl 624,4.900,-1.604938,-3.802618,-11.392224,F9V,0.555
HD 148783,4.830,-31.377501,-74.500728,72.485826,M6III:var,1.289
Antares,1.060,-58.542602,-140.307591,-75.574766,M1Ib + B2.5V,1.865
HD 148605,4.790,-43.820533,-106.064194,-53.794689,B3V,-0.116
Kornephoros,2.780,-15.155861,-36.689058,15.628430,G8III,0.947
HD 148857,3.820,-20.104527,-49.089266,1.837527,A2V,0.022
HD 148786,4.290,-27.057672,-66.252771,-21.351768,G8/K0III,0.924
HD 148703,4.240,-52.724123,-129.490726,-96.826889,B2III-IV,-0.168
HD 148898,4.450,-17.999307,-44.626441,-18.922208,Ap,0.130
HD 149161,4.840,-39.257539,-97.909002,21.438472,K4III,1.495
Gl 626.1,3.860,-3.402312,-8.577006,-47.018913,K0IV SB,0.923
HD 149038,4.860,-26319.328919,-66887.114646,-69522.707339,B0Ia,0.045
HD 149630,4.200,-26.078761,-66.292176,65.133106,B9Vvar,-0.013
HD 149438,2.820,-45.960032,-119.546841,-68.720500,B0V,-0.206
HD 149447,4.180,-30.608471,-80.128932,-60.632448,K5III,1.535
HD 149757,2.540,-39.017319,-103.200447,-20.582092,O9.5V,0.038
HD 150450,4.860,-28.980690,-78.289781,95.792318,M2.5III,1.562
HD 151101,4.840,-32.764340,-91.154503,203.894615,K1p,1.212
Gl 635A,2.810,-3.073152,-8.593139,5.615032,F9IV,0.650
Wo 9574,4.910,-40.404777,-113.427584,-38.525124,G8II/III,1.095
HD 150997,3.480,-8.555377,-24.463195,20.928253,G8III-IV,0.916
HD 149324,4.230,-3.425923,-9.821020,-46.985394,K0III,1.060
Wo 9578,4.840,-4.580191,-13.550466,21.843110,F2V,0.375
HD 153751,4.210,-4.098102,-12.242736,92.297935,G5IIIvar,0.897
Atria,1.910,-13.127447,-40.804561,-111.826781,K2IIb-IIIa,1.447
HD 152107,4.820,-11.666070,-36.574998,39.731338,A2p...,0.087
HD 151249,3.770,-14.233672,-44.996851,-78.673358,K5III,1.562
HD 151769,4.640,-9.468343,-29.953991,-5.983039,F7IV,0.478
HD 151680,2.290,-4.842163,-15.395680,-11.006616,K2IIIb,1.144
HD 151890,3.000,-35.432890,-115.662040,-94.671563,B1.5IV + B,-0.200
HD 151985,3.560,-33.318750,-109.554458,-89.520712,B2IV,-0.210
HD 152236,4.700,-165.254768,-557.850047,-530.561119,B1Iae,0.444
HD 152614,4.390,-21.016847,-70.960621,13.269872,B8V,-0.088
HD 152334,3.620,-8.440449,-28.763155,-27.334750,K4III,1.393
Gl 648,4.880,-1.767632,-6.167324,13.843316,F6Vvar,0.481
HD 153210,3.190,-7.432411,-26.650562,4.567947,K2IIIvar,1.160
Wo 9581,3.120,-22.059130,-80.386753,-123.538160,K5III,1.552
HD 152980,4.060,-17.282386,-64.033737,-88.530893,K4III,1.452
HD 153808,3.920,-10.502570,-39.395153,24.426522,A0V,-0.018
HD 153687,4.820,-31.510319,-119.812027,-9.146869,K4III,1.483
HD 154143,4.970,-28.838773,-113.826006,29.476938,M3III,1.600
