name,magnitude,x,y,z,spectra,color
HD 21754,4.140,61.947656,81.371655,23.491538,K0II-III...,1.112
Gl 144,3.720,1.898970,2.541426,-0.528523,K2V,0.881
HD 22203,4.260,49.785855,67.151682,-33.152769,B9V,-0.106
HD 22192,4.320,69.889300,96.627834,133.343535,B5Ve,-0.058
Gl 147,4.290,8.163865,11.327087,0.097883,F9V,0.575
HD 22663,4.570,31.528759,43.834385,-45.750304,K0III,1.023
HD 23227,4.990,124.650555,181.789430,-137.404463,B5III,-0.159
HD 22951,4.970,151.663187,221.451739,180.804876,B0.5V,-0.048
HD 23319,4.590,25.315940,37.123698,-34.247304,K2IIICN...,1.191
HD 22928,3.010,59.860731,87.855481,117.192812,B5III SB,-0.125
Gl 150,3.520,5.006502,7.370189,-1.533131,K0IV,0.915
Gl 154.2,3.840,7.098485,10.543736,-27.019807,K0IV SB,1.133
HD 23180,3.840,162.113525,241.065988,183.566740,B1III,0.022
HD 23302,3.720,62.965631,94.124106,50.687766,B6III,-0.105
HD 23230,3.770,69.722894,104.539005,115.460753,F5IIvar,0.425
HD 23338,4.300,63.361504,95.013970,51.966577,B6V,-0.110
HD 23408,3.870,59.147180,89.215057,48.483190,B8III,-0.063
HD 23089,4.780,75.241521,113.719424,271.648759,A3V...,0.747
HD 23614,4.430,79.523115,120.308509,-30.921273,M1III,1.604
HD 23480,4.140,58.663928,88.906234,47.309232,B6IV,-0.051
Gl 155,4.220,8.889125,13.538595,-6.958253,F3/F5V,0.434
HD 24512,3.260,9.756821,14.915528,-63.149939,M2III,1.590
Alcyone,2.850,61.664507,94.489136,50.483636,B7III,-0.086
HD 24071,4.300,21.799174,33.760304,-30.970368,A+...,-0.038
HD 23850,3.620,57.849417,90.077197,47.782936,B8III,-0.070
HD 24160,4.170,28.005042,43.728900,-38.005771,G8III,0.927
HD 23475,4.390,54.468786,85.106118,221.987540,M1III,1.870
HD 23401,4.590,18.873061,29.727281,104.223388,A2IVn,0.064
HD 24587,4.640,55.029310,89.546639,-48.147454,B5V,-0.136
HD 24398,2.840,102.130978,166.878316,121.704179,B1Ib,0.271
HD 24554,4.460,49.973192,81.782305,-4.946929,G8III,0.672
HD 24480,4.990,110.663325,186.263742,392.618574,K3I-II,1.435
HD 24479,4.950,25.533963,43.100035,98.625998,B9.5V,-0.074
HD 24760,2.900,76.156467,129.099690,125.816858,B0.5V,-0.199
Zaurak,2.970,30.760217,52.235828,-14.563080,M1IIIb Ca-1,1.588
HD 25422,4.560,38.969270,66.651739,-141.610379,M2III,1.590
HD 24912,3.980,156.010150,267.421217,223.218208,O7.5Iab:,0.016
HD 25267,4.620,45.881115,79.408177,-40.863054,Ap Si,-0.121
HD 25204,3.410,72.055648,125.663969,32.088342,B3V + A,-0.099
HD 25705,4.480,33.370231,58.324809,-127.230070,M4III,1.500
HD 25728,4.970,23.426639,41.113996,-85.644921,K4III,1.386
HD 25490,3.910,17.402678,31.124499,3.741217,A1V,0.032
HD 25604,4.360,25.633221,46.576223,21.568111,K0III,1.064
HD 25642,4.250,39.202478,72.642846,99.608154,A0IVn,-0.011
HD 25940,3.960,45.931031,86.988502,108.154671,B3Ve,-0.025
HD 26612,4.930,18.681766,36.211985,-36.680469,A9V,0.334
HD 26574,4.040,16.838836,33.000244,-4.442368,F2II-III,0.327
HD 26722,4.840,44.823011,89.841902,16.376460,G5III,0.799
HD 26967,3.850,11.637776,23.342255,-23.728596,K1III,1.085
HD 26846,4.870,32.507483,65.482178,-13.228201,K3III,1.156
HD 27256,3.330,10.180685,20.514413,-43.944776,G7III,0.915
HD 26673,4.670,98.172669,198.830839,189.280262,G5II comp,1.007
HD 26630,4.120,81.176514,164.424627,206.603982,G0Ib...,0.935
Gl 166A,4.430,2.179524,4.432894,-0.663740,K1V,0.820
HD 26912,4.270,60.741083,123.898045,21.589212,B3IV,-0.054
Gl 167.1,4.260,5.584439,11.453148,-16.011327,F4III,0.312
Gl 167.3,4.440,4.063966,8.377204,-15.682734,K2IV,1.078
HD 27045,4.930,11.744304,24.419494,10.173490,A3m,0.259
HD 27376,3.550,19.536379,40.910335,-30.347713,B9V,-0.108
HD 26961,4.600,26.385569,55.470171,73.976007,A2V,0.043
HD 27371,3.650,20.197375,43.211662,13.342572,G8III,0.981
HD 27382,4.970,36.823987,79.288446,45.220144,K1III,1.150
HD 27348,4.930,23.204333,49.995533,37.976140,G8III,0.950
HD 27396,4.800,44.585331,97.329822,112.808858,B4IV,-0.022
HD 27697,3.770,18.695965,41.472036,14.380508,G8III,0.983
HD 28028,3.970,30.609599,68.780131,-50.811792,K4III,1.468
HD 27819,4.800,19.182021,43.132146,14.833155,A7V,0.154
HD 27934,4.210,17.521422,39.995220,17.902800,A7IV-V,0.136
HD 27962,4.300,17.364830,39.694452,14.017394,A2IV,0.049
HD 28024,4.280,17.275942,39.878289,18.280854,A8Vn,0.263
HD 28052,4.480,18.787236,43.386530,13.216923,F0V...,0.262
HD 28100,4.690,48.956077,113.410664,32.438204,G8III,0.979
HD 28292,4.960,21.363370,50.598509,16.122899,K2IIIvar,1.137
HD 28307,3.840,17.673807,41.929015,13.014908,G7III,0.952
HD 28305,3.530,16.488448,39.136798,14.772771,K0III,1.014
HD 28319,3.400,17.209733,40.871602,12.608233,A7III,0.179
Gl 170.1,4.780,15.781048,38.363950,12.047208,A6IV,0.170
HD 28749,4.910,75.473050,186.515934,-0.154555,K3II-III,1.320
HD 29085,4.490,12.461010,31.436528,-19.340438,K0III,0.972
HD 28910,4.650,17.218125,43.626235,12.430714,A8V,0.255
HD 29305,3.300,10.857822,27.562880,-42.378779,A0V:,-0.079
HD 29291,3.810,20.338212,52.673930,-33.342657,G8III,0.957
HD 29140,4.250,16.960482,43.985163,8.448853,A5m,0.184
Aldebaran,0.870,7.027220,18.287604,5.806661,K5III,1.538
HD 29248,3.930,73.800655,193.060106,-12.107266,B2III SB,-0.210
HD 29094,4.250,65.344458,171.773203,161.256794,G8II comp,1.171
HD 29388,4.270,16.067112,43.063758,10.198975,A6V,0.122
Wo 9160A,3.860,11.405856,30.579706,-8.321655,K1III,1.082
HD 29573,4.990,24.167507,65.414460,-14.979556,A0V,0.074
HD 29488,4.670,15.820925,43.043494,13.078825,A5Vn,0.147
HD 29755,4.320,36.197962,100.052855,-38.036843,M3/M4III,1.599
Gl 174.1A,4.440,5.101798,14.124725,-13.457617,F2V,0.342
HD 29763,4.270,37.416474,106.020957,47.623853,B3V,-0.112
HD 30211,4.010,51.015593,151.376745,-9.083835,B5IV,-0.148
Gl 178,3.190,2.413721,7.636770,0.977904,F6V,0.484
HD 30504,4.890,36.867000,116.768408,93.919491,K4II,1.447
HD 30739,4.350,20.273136,64.902011,10.647890,A1Vn,0.010
HD 30836,3.680,94.925539,306.683598,31.506969,B2III SB,-0.157
HD 30959,4.710,56.131664,185.136392,49.134544,M3Sv,1.773
HD 30834,4.790,42.857564,141.578185,110.271052,K3III,1.414
HD 31109,4.360,20.701060,68.667532,-6.846096,A9IV,0.257
HD 30614,4.260,11388.133562,38476.633833,91596.173902,O9.5Ia SB:,-0.008
HD 31237,3.710,116.339905,394.346209,17.524650,B2III SB,-0.179
HD 31295,4.640,9.838820,33.698243,6.285324,A0V,0.085
HD 31421,4.060,15.193314,53.311153,13.323302,K2III,1.158
Hassaleh,2.690,34.378539,121.884168,82.763748,K3IIvar,1.490
HD 31278,4.430,18.219549,64.912267,91.957342,A1V,-0.017
HD 31767,4.470,76.757549,279.372806,8.669789,K2IIvar,1.369
HD 31647,4.930,10.806482,39.813476,32.104087,A1V,0.037
HD 32045,4.780,22.503515,83.880239,-19.312900,F0V,0.267
HD 32309,4.910,14.410135,55.150015,-20.805379,B9V,-0.047
HD 32249,4.800,56.864041,217.677719,-28.318040,B3V,-0.164
HD 31964,3.030,118.129799,456.518488,452.573030,F0Ia,0.537
HD 32068,3.690,45.114162,175.957014,158.327189,K4II comp,1.154
HD 32301,4.620,12.103194,47.740064,19.489629,A7V,0.155
HD 31910,4.030,32.233956,127.899195,232.582593,G0Ib,0.921
HD 32831,4.550,10.872233,43.938165,-32.265726,K2III,1.177
HD 32549,4.650,25.857529,104.817125,29.745307,A0p Si,-0.064
HD 32887,3.190,14.257014,58.775516,-24.892270,K4III,1.460
Gl 189,4.710,1.474776,6.085643,-9.818715,F7V,0.526
HD 32630,3.180,12.978524,54.599524,49.189770,B3V,-0.148
Gl 187.2A,4.980,3.765141,15.889624,20.601167,F0V,0.343
Gl 188A,4.910,3.324007,14.241868,4.934537,G4V,0.657
Cursa,2.780,6.156194,26.585876,-2.429001,A3IIIvar,0.161
HD 33328,4.250,54.107143,239.830695,-37.859151,B2IVn,-0.187
HD 33276,4.810,34.604537,155.127325,44.368602,F2IV,0.313
Kapteyn's Star,8.860,0.578997,2.705174,-2.768220,M0V,1.543
HD 33802,4.450,14.372474,68.052698,-14.618273,B8V,-0.099
HD 33904,3.290,11.164848,53.596933,-15.911275,B9IV: HgMn,-0.110
HD 33949,4.360,44.086239,213.030877,-49.989446,B7V,-0.094
HD 33856,4.460,21.689404,104.944819,5.355998,K3III...,1.166
HD 33641,4.820,7.409615,35.960293,29.188797,A4m,0.189
HD 34649,4.810,11.702924,57.211867,-138.819870,K2III,1.274
Rigel,0.180,51.601106,256.709905,-37.740051,B8Ia,-0.030
Capella,0.080,1.712633,8.954439,9.440007,M1: comp,0.795
